pair,carry_pa,net_carry_pa,vol,carry_vol,synthetic_iv,carry_synthetic_iv,spx_beta,spx_beta_se,oil_beta,us2y_beta_per_bp,r2,spx_beta_63,spx_beta_252,carry_variance,unconstrained,factor,factor_macro,factor_dm
BRL/CHF,0.12000117689384082,0.11360117689384082,0.10099582147595329,1.1881796210986078,0.16278370905216905,0.7371817339251237,0.2671528111355925,0.06076871576488535,0.025496058656281954,7.803970953240702e-05,0.09676658876744593,0.13551719082605201,0.35561844361797673,0.0,0.0,0.0,0.0,0.0
MXN/CHF,0.06872709492708642,0.06232709492708642,0.06524039336033444,1.0534439077872249,0.07636642893482079,0.8999647605068114,0.17840773291919274,0.050353778945327214,-0.0011894920507847784,0.00012566510040246115,0.11402150429394697,0.13322218547159478,0.26468980664686825,0.0,0.0,0.0,0.0,0.0
BRL/EUR,0.09338398067196899,0.08698398067196898,0.09213144904260376,1.0135950497075763,0.1594094881666765,0.5858119346969354,0.2497462678666966,0.06298253803851639,0.012687477359968434,-6.58314225979173e-06,0.11258551010737017,0.1281475627183109,0.32888655593664035,599224.1142799633,1252855.9341410804,1252855.9341410662,1252855.9341410662,0.0
BRL/SEK,0.100492183430219,0.094092183430219,0.10010531728365005,1.0038645913830206,0.15761438137973705,0.6375825768595651,0.07160800638232823,0.07090817645939577,0.024669716890414712,7.053158531171444e-05,0.03023451909767172,-0.05320475270654123,0.1648493580523403,0.0,261214.82158019766,261214.82158021347,261214.82158021347,0.0
BRL/CAD,0.09640550996784829,0.09000550996784829,0.10138883150199106,0.9508494036244524,0.16777476127796737,0.5746127083329579,0.3248167216000136,0.06936351257542352,0.009637482632217625,-9.495599272457689e-05,0.18599469420771275,0.16407260508571328,0.3473519882127665,179501.06295940667,122690.32617454101,122690.32617453823,122690.32617453823,0.0
BRL/JPY,0.10781904133812613,0.10141904133812613,0.11904425245297419,0.9057055600455609,0.1761869561825894,0.6119581362560635,0.24955354238906008,0.09579173575252171,0.027069084468667067,1.2967272939840013e-05,0.06979193414655471,0.02948490285955078,0.37243089409322744,0.0,0.0,0.0,0.0,0.0
MXN/EUR,0.0421098987052146,0.0357098987052146,0.0484203447055794,0.8696736663331177,0.06409503907796302,0.6569915442908703,0.16100118965029686,0.03132499054715333,-0.013998073347098353,4.1042248610290155e-05,0.2649090863956002,0.12585255736385356,0.23795791896553173,950633.7461165469,0.0,0.0,0.0,0.0
MXN/SEK,0.04921810146346461,0.042818101463464604,0.06135176571451321,0.8022279536743913,0.07603254679169745,0.6473293811702108,-0.017137071834071586,0.042882576086128214,-0.0020158338166520427,0.00011815697618178245,0.025485669821081802,-0.05549975806099854,0.07392072108123172,0.0,0.0,0.0,0.0,0.0
MXN/CAD,0.0451314280010939,0.038731428001093894,0.06453235824030877,0.6993612077995238,0.07636817791658183,0.5909716485627255,0.23607164338361375,0.04318376971331712,-0.017048068074849165,-4.733060185452276e-05,0.3564658237963422,0.161777599731256,0.2564233512416578,0.0,0.0,0.0,0.0,0.0
GBP/CHF,0.03971471389994826,0.03691471389994826,0.06111024635596719,0.6498863327863227,0.058286966771741666,0.6813652536676948,0.01851737673972498,0.030768854189219826,0.0020187782188557314,0.00010626954691317012,0.02949295737234514,0.01713134331913655,0.07216991088871048,1462479.9950144202,2293137.0208458803,2293137.020845863,2293137.020845863,2500000.0
MXN/JPY,0.05654495937137174,0.050144959371371735,0.08822701143197054,0.6409030347239182,0.10032545004267106,0.5636153074551041,0.16080846417266026,0.0777762414773751,0.0003835337616002229,6.059266380989414e-05,0.05997096181419259,0.027189897505093527,0.28150225712211885,0.0,0.0,0.0,0.0,0.0
AUD/CHF,0.04547807310039986,0.042678073100399866,0.07361332093269796,0.617796786290607,0.07107551203191467,0.6398557224600658,0.21321550828753788,0.03745259082607518,0.013186027483356899,4.267624996279196e-05,0.1760357129497716,0.22816203886979472,0.3079855108100633,0.0,0.0,0.0,0.0,0.0
NOK/CHF,0.0450454178842666,0.0422454178842666,0.07485154045892413,0.6017968048230875,0.08513356453067117,0.5291146697850063,0.0840417120464249,0.04961570209648071,0.06206728442214387,6.701111972748364e-05,0.2656195134265096,0.052007938661460244,0.16989469739458438,126021.4727230577,1206862.9791541293,1206862.9791541356,1206862.9791541356,1000000.0000000114
HUF/CHF,0.05383451270693619,0.04743451270693619,0.09334570694705402,0.5767218918538085,0.0917615102431809,0.5866785819486533,0.2908137622070018,0.07554088714411653,-0.015620066137461459,-0.00022536248270527137,0.3434649773764703,0.22104039907482848,0.28984151219779425,0.0,0.0,0.0,0.0,0.0
NZD/CHF,0.02999463983357948,0.02719463983357948,0.06229691657704377,0.48147872289127736,0.07091201606387117,0.4229838819779571,0.1734149284606038,0.03777492861793291,-0.0020025962254559327,2.1110918174388482e-05,0.13953814735060988,0.19162779776734537,0.23967782921631822,487103.12049849465,0.0,0.0,0.0,0.0
USD/CHF,0.040823801953086006,0.03802380195308601,0.0851007567770922,0.47971138564628063,0.069,0.5916493036679131,-0.11691294180403193,0.03378929633016974,0.004449987075794875,0.00034551202231479505,0.31014716890239646,-0.09286986624055607,-0.06770359735062491,0.0,0.0,0.0,0.0,0.0
AUD/SEK,0.02596907963677804,0.02316907963677804,0.05992948348643369,0.433327272754765,0.07142195199147361,0.3636008105726128,0.017670703534273465,0.04509337089885091,0.012359685717489641,3.516812574212019e-05,0.023709748963689825,0.03944009533720142,0.11721642524442667,989682.4965285107,961830.1141922167,961830.1141922028,961830.1141922028,1694690.167363697
GBP/EUR,0.013097517678076431,0.010297517678076431,0.03057549667241895,0.42836647327110233,0.04559868455606957,0.28723455085576677,0.0011108334708291024,0.022012181520823855,-0.010789803077457836,2.164669512101907e-05,0.04751489927245256,0.00976171521139537,0.04543802320737393,0.0,0.0,0.0,0.0,0.0
HUF/SEK,0.03432551924331437,0.027925519243314368,0.08319906247651787,0.41257098603728154,0.08939075253734867,0.38399407398402535,0.09526895745373731,0.05570863225348798,-0.016446407903328738,-0.00023287060692595007,0.1629289288513086,0.03231845554223515,0.0990724266321577,270641.0766440831,363238.9181041883,363238.9181041832,363238.9181041832,0.0
AUD/JPY,0.03329593754468517,0.03049593754468517,0.08274153442106646,0.4024089929882644,0.09298928528798792,0.3580620868476149,0.1956162395410054,0.07430867129198991,0.014759053295741942,-2.2396186629747294e-05,0.10332403201387252,0.12212975090329345,0.32479796128531374,285089.79189584905,752485.3640388254,752485.3640388394,752485.3640388394,1305309.8326363158
AUD/EUR,0.018860876878528034,0.016060876878528033,0.04950396056168097,0.38099733161809846,0.061972109601234,0.3043445995285672,0.19580896501864192,0.04560993729976481,0.0003774461870433508,-4.194660182935128e-05,0.3128135770645317,0.22079241076205353,0.2812536231287268,0.0,0.0,0.0,0.0,0.0
AUD/CAD,0.02188240617440733,0.01908240617440733,0.05912183426341703,0.37012393893109574,0.0681673403390968,0.32101012105729554,0.2708794187519588,0.03666658929830116,-0.0026725485407074583,-0.00013031945229419195,0.4652119234034632,0.25671745312945604,0.299719055404853,0.0,0.0,0.0,0.0,0.0
